n_sources,avg_adaptive,std_adaptive,avg_random,std_random,avg_maxdeg,std_maxdeg,avg_fvs,std_fvs,adaptive_lower_bound,adaptive_upper_bound
31,1.4833333333333334,1.0565930573730309,3.25,2.790609252475165,2.783333333333333,2.4636806250450203,1.4,0.9521904571390466,1.1866666666666668,1.4833333333333334
32,1.6833333333333333,1.2581953566738178,3.9833333333333334,3.4229211046836716,3.05,2.8718460961548757,1.4833333333333334,1.1327204225030798,1.3466666666666667,1.6833333333333333
33,1.8,1.2754084313139329,4.083333333333333,3.680089068970418,3.183333333333333,2.397857840286246,1.5666666666666667,1.054619467970425,1.4400000000000002,1.8
34,1.6666666666666667,1.3249737942901192,3.466666666666667,3.2785498149164805,3.3,2.94561821468205,1.4,1.019803902718557,1.3333333333333335,1.6666666666666667
35,2.0166666666666666,1.51097834384069,4.05,3.2167530212933664,4.05,3.221930063383334,1.6833333333333333,1.1473399186330477,1.6133333333333333,2.0166666666666666
36,1.7666666666666666,1.5095989165632335,4.116666666666666,3.647335404861411,3.3666666666666667,3.1249888888691357,1.5333333333333334,1.284090685617215,1.4133333333333333,1.7666666666666666
37,1.6166666666666667,1.3427790419706271,3.466666666666667,3.283629428273267,3.3833333333333333,2.595455429956155,1.3833333333333333,1.0342737656066803,1.2933333333333334,1.6166666666666667
38,1.85,1.5580436450882882,4.416666666666667,4.148460223049296,3.7,3.455912807542073,1.6166666666666667,1.3177210967761308,1.4800000000000002,1.85
39,2.0833333333333335,1.3819269959814167,4.833333333333333,3.782268572636739,4.3,3.2005207909547058,1.85,1.2086493839543928,1.666666666666667,2.0833333333333335
40,2.0833333333333335,1.686136280244143,5.216666666666667,4.782229837870846,3.8,3.5534021256630477,1.7833333333333334,1.4386529193041047,1.666666666666667,2.0833333333333335
